,Lyrics,Title,Year,Genre
51,Es gibt eine Zeit zu rennen Es gibt eine Zeit zu ruhen Es gibt Tage  an denen man sich anstrengen muss Die simpelsten Dinge zu tun Es gibt für alles eine Antwort Es gibt für alles eine Zeit Aber ich frage mich heute Abend wie oft Und habe ich eine Wahl  Und wie häufig schlägt dein Herz? Wie häufig siehst du himmelwärts? Und wie häufig stehst du auf und freust du dich darauf? Und Jay-Z singt uns ein Lied Und wie häufig schlägt dein Herz? Wie häufig siehst du himmelwärts? In der Schönheit des Moments Wenn du lachst und schreist und rennst Und Jay-Z singt uns ein Lied  Meine Hände sind ständig in Bewegung Solang' ich denken kann  bin ich nervös Das liegt daran  dass ich hoffe  dass dir nichts zustößt Es gibt eine Zeit zu beten Es gibt eine Zeit zu stehen Aber heute ist der Tag zu knien Und dich auf Augenhöhe wieder zu sehen  Und wie häufig schlägt dein Herz? Wie häufig siehst du himmelwärts? Und wie häufig stehst du auf und freust du dich darauf? Und Jay-Z singt uns ein Lied Und wie häufig schlägt dein Herz? Wie häufig siehst du himmelwärts? In der Schönheit des Moments Wenn du lachst und schreist und rennst Und Jay-Z singt uns ein Lied  Mehr Kraft als Mut  mit mehr Schnaps als Blut In den Augen  taumel durch die Nacht im Flug  schlafimmun Ab und zu Lebenslichter  schwebenden Songs Hab' neunundneunzig Probleme  wir sind jedes davon Durch Krisen  Tresen und Alk  meiner Miesepeter-Gestalt Waren es immer nur gerade Worte durch schiefe Zähne gelallt Du warst mein Ketamin  mein Amphetamin Mein Auf und Ab  Euphorien und zuckersüße Lethargie Seht uns hier zugleich  nur noch Fragen  die blieben Für die Komödie gezahlt  aber für das Drama geblieben Und im Radio lief Jay-Z immer wieder mit seinem Lied Von der großen Stadt Erinnert uns wieder  wie klein wir sind  Wie häufig schlägt dein Herz? Wie häufig siehst du himmelwärts? Und wie häufig stehst du auf und freust du dich darauf? Und Jay-Z singt uns ein Lied Und wie häufig schlägt dein Herz? Und wie häufig schlägt dein Herz? Und wie häufig schlägt dein Herz? Und wie häufig schlägt dein Herz?,& Jay-Z Singt Uns Ein Lied,2011,Rock
52,In the year of '39 assembled here the volunteers In the days when lands were few Here the ship sailed out into the blue and sunny morn The sweetest sight ever seen  And the night followed day And the story tellers say That the score brave souls inside For many a lonely day sailed across the milky seas Ne'er looked back  never feared  never cried  Don't you hear my call though you're many years away Don't you hear me calling you Write your letters in the sand For the day I take your hand In the land that our grandchildren knew  In the year of '39 came a ship in from the blue The volunteers came home that day And they bring good news of a world so newly born Though their hearts so heavily weigh For the earth is old and grey  little darling  we'll away But my love this cannot be For so many years have gone though I'm older but a year Your mother's eyes  from your eyes  cry to me  Don't you hear my call though you're many years away Don't you hear me calling you Write your letters in the sand for the day I take your hand In the land that our grandchildren knew  Don't you hear my call though you're many years away Don't you hear me calling you All your letters in the sand cannot heal me like your hand For my life Still ahead Pity me,'39,1975,Rock
53,In the year of '39 assembled here the volunteers In the days when lands were few Here the ship sailed out into the blue and sunny morn The sweetest sight ever seen  And the night followed day And the story tellers say That the score brave souls inside For many a lonely day sailed across the milky seas Ne'er looked back  never feared  never cried  Don't you hear my call though you're many years away Don't you hear me calling you Write your letters in the sand For the day I take your hand In the land that our grandchildren knew  In the year of '39 came a ship in from the blue The volunteers came home that day And they bring good news of a world so newly born Though their hearts so heavily weigh For the earth is old and grey  little darling  we'll away But my love this cannot be For so many years have gone though I'm older but a year Your mother's eyes  from your eyes  cry to me  Don't you hear my call though you're many years away Don't you hear me calling you Write your letters in the sand for the day I take your hand In the land that our grandchildren knew  Don't you hear my call though you're many years away Don't you hear me calling you All your letters in the sand cannot heal me like your hand For my life Still ahead Pity me,'39,2002,Rock
54,NONE,NONE,NONE,Rock
55,NONE,NONE,NONE,Rock
56,In the year of '39 assembled here the volunteers In the days when lands were few Here the ship sailed out into the blue and sunny morn The sweetest sight ever seen  And the night followed day And the story tellers say That the score brave souls inside For many a lonely day sailed across the milky seas Ne'er looked back  never feared  never cried  Don't you hear my call though you're many years away Don't you hear me calling you Write your letters in the sand For the day I take your hand In the land that our grandchildren knew  In the year of '39 came a ship in from the blue The volunteers came home that day And they bring good news of a world so newly born Though their hearts so heavily weigh For the earth is old and grey  little darling  we'll away But my love this cannot be For so many years have gone though I'm older but a year Your mother's eyes  from your eyes  cry to me  Don't you hear my call though you're many years away Don't you hear me calling you Write your letters in the sand for the day I take your hand In the land that our grandchildren knew  Don't you hear my call though you're many years away Don't you hear me calling you All your letters in the sand cannot heal me like your hand For my life Still ahead Pity me,'39,2014,Rock
57,(Ist denn das die Möglichkeit?9  (Eins und zwei und drei und) '54  '74  '90  2006 Ja  so stimmen wir alle ein Mit dem Herz in der Hand und der Leidenschaft im Bein Werden wir Weltmeister sein  Wir haben nicht die höchste Spielkultur Sind nicht gerade filigran Doch wir haben Träume und Visionen Und in der Hinterhand 'nen Masterplan Für unsren langen Weg aus der Krise Und aus der Depression Lautet die Devise Nichts wie rauf auf den Fußballthron  (Eins und zwei und drei und) '54  '74  '90  2006 Ja  so stimmen wir alle ein Mit dem Herz in der Hand und der Leidenschaft im Bein Werden wir Weltmeister sein  Die ganze Welt greift nach dem goldenen Pokal Doch nur einer hält ihn fest  so ist das nun einmal Die ganze Welt spielt sich um den Verstand Doch der Cup bleibt in unserem Land  (Eins und zwei und drei und) '54  '74  '90  2006 Ja  so stimmen wir alle ein Mit dem Herz in der Hand und der Leidenschaft im Bein Werden wir Weltmeister sein  Beim ersten Mal wars 'n Wunder Beim zweiten Mal war's Glück Beim Dritten mal der verdiente Lohn Und diesmal wird's 'ne Sensation  (Eins und zwei und drei und) '54  '74  '90  2006 Ja  so stimmen wir alle ein Mit dem Herz in der Hand und der Leidenschaft im Bein Werden wir Weltmeister sein  '54  '74  '90  2006 Ja  so stimmen wir alle ein Mit dem Herz in der Hand und der Leidenschaft im Bein Werden wir Weltmeister sein  (Und das ist das Finale),"'54, '74, '90, 2006",2006,Rock
58,Eins und zwei und drei und vier '54  '74  '90  2010  ja  so stimmen wir alle ein Mit dem Herz in der Hand und der Leidenschaft im Bein Werden wir Weltmeister sein  Wir haben nicht die höchste Spielkultur Sind nicht gerade filigran Doch wir haben Träume und Visionen Und in der Hinterhand einen Masterplan  Für unsere langen Wege aus der Krise Und aus der Depression Lautet die Devise „Nichts wie raus auf den Fußballthron!“  Eins und zwei und drei und vier '54  '74  '90  2010  ja  so stimmen wir alle ein Mit dem Herz in der Hand und der Leidenschaft im Bein Werden wir Weltmeister sein  Die ganze Welt greift nach dem goldenen Pokal Am Kap der guten Hoffnung probieren wir's nochmal Wir als Gast in Südafrika Wird unser Traum dann endlich wahr?  Eins und zwei und drei und vier '54  '74  '90  2010  ja  so stimmen wir alle ein Mit dem Herz in der Hand und der Leidenschaft im Bein Werden wir Weltmeister sein  Beim ersten Mal war es ein Wunder Beim zweiten Mal war es Glück Beim dritten Mal der verdiente Lohn Und's nächste Mal wird's ne Sensation  Eins und zwei und drei und vier '54  '74  '90  2010  ja  so stimmen wir alle ein Mit dem Herz in der Hand und der Leidenschaft im Bein Werden wir Weltmeister sein  '54  '74  '90  2010  ja  so stimmen wir alle ein Mit dem Herz in der Hand und der Leidenschaft im Bein Werden wir Weltmeister sein,"'54, '74, '90, 2010",2006,Rock
59,I was a car hop You were into be-bop You sang do wop diddy wop diddy wop doo All of them changes you put me through  If I could go back again Well I know I'd never let you go Back with some of my friends To that wonderful  '65 love affair We wasn't gettin' nowhere But we didn't care It was a crazy '65 love affair Rock 'n' roll was simple and clear Oh  I still can hear I can hear it baby Well I asked you like a dumb-dumb You were bad with your pom-poms You said ooh wah go team ooh wah go Ooh-ee baby I want you to know  If I could go back in time Well  I know somehow you'd still be mine I wouldn't be so blind To that wonderful  '65 love affair When rock 'n' roll was simple and clear Oh  I still can hear I can hear it baby  Well  I tried to make you give in One night at the drive-in You said oh no baby  oh no woo All of them changes you put me through  If I could go back in time Well  I know somehow you'd still be mine I wouldn't be so blind To that wonderful  We sang doo wop diddy wop diddy wop doo Doo wop diddy wop diddy wop doo,'65 Love Affair,1981,Rock
60,NONE,NONE,NONE,Rock
61,NONE,NONE,NONE,Rock
62,NONE,NONE,NONE,Rock
63,Where the streets are paved with blood With cataclysmic overtones Fear and hate linger in the air A strictly no-go deadly zone I don't know what I'm doing here 'Cause it's not my scene at all There's an 'A' bomb in Wardour Street They've called in the Army  they've called in the police to  I'm stranded on the vortex floor My head's been kicked in and blood's started to pour Through the haze I can see my girl Fifteen geezers got her pinned to the door I try to reach her but fall back to the floor 'A' bomb in Wardour Street It's blown up the west end  now it's spreading throughout the city  'A' bomb in Wardour Street  it's blown up the city Now it's spreading through the country  Law and order take a turn for the worst In the shape of a size ten boot Rape and murder throughout the land And they tell you that you're still a free man If this is freedom I don't understand 'Cause it seems like madness to me 'A' bomb in Wardour Street  hate Bomb Hate Bomb  hate Bomb  hate Bomb  A Phillistine nation  of degradation And hate and war. There must be more It's Doctor Martin's A-P-O-C-A-L-Y-P-S-E Apocalypse,'A' Bomb in Wardour Street,1983,Rock
64,It's the kind of night that's so cold  when you spit It freezes before it hits the ground And when a bum asks for a quarter  you give a dollar If he's out tonight  he must be truly down And I'm searching all the windows for a last minute present To prove to you what I said was real For something small and frail and plastic baby Cause' cheap is how I feel  Half a moon in the sky tonight  bright enough To come up with an answer To the question  why is it that every time I see you My love grows a little stronger But your memory leaves my stomach churning Feeling like a lie about to be revealed But I'll horde all this to myself Cause' cheap is how I feel  It's not the smell in here that gets to me  it's the lights How I hate the shadows that they cast And the sound of clinking bottles is the one sure thing I'll always drag with me from my past I think I'll find a pair of eyes tonight  to fall into And maybe strike a deal Your body for my soul  fair swap Cause' cheap is how I feel,'cause Cheap Is How I Feel,1995,Rock
